,Alighting Stops,1,2,3,4,5,6,7,8,9,10,11,12,13,14,16,17,18,19,22,23,24,26,29,30,31,32,33,Total Boarding MAC,Boarding GT,Estimated Boarding
Boarding Stops,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,10,4
2,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,4
3,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
4,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,3
5,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
6,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3
7,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
8,,,,,,,,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
9,,,,,,,,,,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2
10,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,4,5,2
11,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1
12,,,,,,,,,,,,,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,4,5,2
13,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,2
14,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
16,,,,,,,,,,,,,,,,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,4
17,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3
18,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,1,2,7
19,,,,,,,,,,,,,,,,,,,0,2,0,0,0,0,0,0,0,0,2,0,3
22,,,,,,,,,,,,,,,,,,,,0,2,0,0,0,0,0,0,0,2,3,1
23,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
24,,,,,,,,,,,,,,,,,,,,,,0,2,0,0,0,0,0,2,1,0
26,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,1,0,2
29,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,2,0
30,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,0,3,1,0
31,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,6
32,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
Total Alighting MAC,,0,0,0,0,0,0,0,1,4,5,1,1,2,2,0,2,2,1,2,2,0,3,2,2,5,0,1,38,,61
Alighting GT,,0,0,0,2,4,0,4,0,2,4,1,2,0,1,0,1,6,2,0,2,0,2,3,12,1,2,10,,61,
Estimated Alighting,,4,4,2,3,2,3,3,1,2,2,1,2,2,4,4,3,7,3,1,0,0,2,0,0,6,0,0,61,,
